,Date,Location,Dead,Injured,Total,Description,dt,Suspects Dead,Suspects Injured,Year,Month,Day,loc,loc_name,loc_coords,lat,long,wrapped_descr,City,State
14,"July 28, 2019","Washington, D.C.",0,4,4,Four people were shot and injured while standing outside of a bar/nightclub.[24],2019-07-28,0,0,2019,7,28,"Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,"Four people were
shot and injured
while standing
outside of a
bar/nightclub.[24]",Washington, D.C.
15,"July 27, 2019","Wichita, Kansas",1,3,4,One man was killed and three were injured after an altercation at an apartment complex. The suspect was later arrested.[25],2019-07-27,0,0,2019,7,27,"Wichita, Sedgwick County, Kansas, USA","Wichita, Sedgwick County, Kansas, USA","(37.6922361, -97.3375448)",37.6922361,-97.3375448,"One man was killed
and three were
injured after an
altercation at an
apartment complex.
The suspect was
later arrested.[25]",Wichita, Kansas
16,"July 27, 2019","Brooklyn, New York",1,12,13,"Thirteen people were shot, one fatally, at a playground in Brownsville.[26]",2019-07-27,0,0,2019,7,27,"BK, Kings County, NYC, New York, USA","BK, Kings County, NYC, New York, USA","(40.6501038, -73.9495823)",40.6501038,-73.9495823,"Thirteen people were
shot, one fatally,
at a playground in
Brownsville.[26]",Brooklyn, New York
17,"July 25, 2019","Albemarle, North Carolina",3,1,4,"Officers responded to a call at a residence and discovered three deceased victims, and one wounded male, resulting from a double murder–suicide.[27]",2019-07-25,0,0,2019,7,25,"Albemarle, Stanly County, North Carolina, 28001, USA","Albemarle, Stanly County, North Carolina, 28001, USA","(35.3501426, -80.2000578)",35.3501426,-80.2000578,"Officers responded
to a call at a
residence and
discovered three
deceased victims,
and one wounded
male, resulting from
a double
murder–suicide.[27]",Albemarle, North Carolina
18,"July 25, 2019","Los Angeles, California",4,2,6,"A man killed four people, including his father and brother, and wounded two more at a total of four different crime scenes across the San Fernando Valley.[28][29]",2019-07-25,0,0,2019,7,25,"LA, Los Angeles County, California, United States of America","LA, Los Angeles County, California, United States of America","(34.0536909, -118.2427666)",34.0536909,-118.2427666,"A man killed four
people, including
his father and
brother, and wounded
two more at a total
of four different
crime scenes across
the San Fernando
Valley.[28][29]",Los Angeles, California
19,"July 23, 2019","Pembroke Park, Florida",2,2,4,Two men were killed and two others were wounded after an argument between a group escalated into a shooting.[30],2019-07-23,0,0,2019,7,23,"Pembroke Park, Broward County, Florida, USA","Pembroke Park, Broward County, Florida, USA","(25.9878691, -80.1747687)",25.9878691,-80.1747687,"Two men were killed
and two others were
wounded after an
argument between a
group escalated into
a shooting.[30]",Pembroke Park, Florida
20,"July 21, 2019","Chicago, Illinois",0,4,4,"A gunman opened fire on a group of people, wounding four, as they congregated outside of a gas station.[31]",2019-07-21,0,0,2019,7,21,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"A gunman opened fire
on a group of
people, wounding
four, as they
congregated outside
of a gas
station.[31]",Chicago, Illinois
21,"July 21, 2019","Washington, D.C.",0,4,4,"Four people were injured in a shooting, which was captured by surveillance video.[32]",2019-07-21,0,0,2019,7,21,"Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,"Four people were
injured in a
shooting, which was
captured by
surveillance
video.[32]",Washington, D.C.
22,"July 20, 2019","Jersey City, New Jersey",0,6,6,Six people were wounded in an overnight shooting.[33],2019-07-20,0,0,2019,7,20,"Jersey City, Hudson County, New Jersey, United States of America","Jersey City, Hudson County, New Jersey, United States of America","(40.7281575, -74.0776417)",40.7281575,-74.0776417,"Six people were
wounded in an
overnight
shooting.[33]",Jersey City, New Jersey
23,"July 20, 2019","Clairton, Pennsylvania",0,4,4,"Four teenagers—between the ages of 14-18, were wounded in a shooting at a graduation party.[34]",2019-07-20,0,0,2019,7,20,"Clairton, Allegheny County, Pennsylvania, USA","Clairton, Allegheny County, Pennsylvania, USA","(40.2922938, -79.8817181)",40.2922938,-79.8817181,"Four
teenagers—between
the ages of 14-18,
were wounded in a
shooting at a
graduation
party.[34]",Clairton, Pennsylvania
